Quarter,Months,GPR_QMEAN,LN_GPR_QMEAN,GPR_QMAX,LN_GPR_QMAX,GPRT_QMEAN,LN_GPRT_QMEAN,GPRA_QMEAN,LN_GPRA_QMEAN
2014Q4,3,84.8557586670,4.4409528582,86.5262222290,4.4604475152,85.3588714600,4.4468643860,83.2562764486,4.4219235188
2015Q1,3,109.3818868001,4.6948453077,111.9856948853,4.7183711389,106.4059473674,4.6672614717,114.9210764567,4.7442456011
2015Q2,3,88.1195958455,4.4786949355,102.1904907227,4.6268386277,89.6411819458,4.4958148343,85.5792566935,4.4494429254
2015Q3,3,96.0182164510,4.5645379282,106.8086624146,4.6710390320,107.3555831909,4.6761465322,79.8474884033,4.3801184202
2015Q4,3,130.2948811849,4.8698001985,150.7158813477,5.0153964839,102.6648890177,4.6314701794,175.7130686442,5.1688523729
2016Q1,3,110.5603612264,4.7055616273,118.2111434937,4.7724723771,104.5293655396,4.6494680419,118.2930857340,4.7731653224
2016Q2,3,87.9073333740,4.4762832298,90.1681289673,4.5016760272,81.9322230021,4.4058923567,95.8733393351,4.5630279384
2016Q3,3,105.9647216797,4.6631062244,114.6104507446,4.7415389934,91.6760355632,4.5182610099,129.2509791056,4.8617560886
2016Q4,3,90.2823359172,4.5029418258,102.1804656982,4.6267405215,84.9367853800,4.4419072784,99.4207331340,4.5993606747
2017Q1,3,105.3478240967,4.6572674860,114.2063598633,4.7380069862,109.9267018636,4.6998137970,98.6657740275,4.5917381186
2017Q2,3,116.2763010661,4.7559692646,126.7890167236,4.8425244194,114.3232065837,4.7390295824,118.1484349569,4.7719417573
2017Q3,3,118.9598414103,4.7787859690,138.5316162109,4.9310985755,142.5890680949,4.9599668437,88.1624247233,4.4791808487
2017Q4,3,88.9252802531,4.4877964694,92.5960159302,4.5282461162,103.0276769002,4.6349976599,70.6434504191,4.2576454002
2018Q1,3,89.6268183390,4.4956545870,111.9622955322,4.7181621676,109.7515029907,4.6982187465,64.0753593445,4.1600598804
2018Q2,3,117.6328938802,4.7675687062,125.6666183472,4.8336325143,151.8789418538,5.0230837684,71.3880640666,4.2681306854
2018Q3,3,99.2746734619,4.5978904878,112.7416839600,4.7250992192,120.9466857910,4.7953498352,68.0493265788,4.2202328331
2018Q4,3,87.6772435506,4.4736623851,92.0164794922,4.5219676859,108.8139012655,4.6896390952,58.2645238241,4.0649933974
2019Q1,3,88.8508529663,4.4869591546,96.8001632690,4.5726486809,110.5424906413,4.7053999777,59.9621378581,4.0937133273
2019Q2,3,97.4379348755,4.5792156099,106.5884552002,4.6689752057,124.3604685465,4.8231843528,58.5332018534,4.0695941463
2019Q3,3,95.7645543416,4.5618926201,103.4044189453,4.6386476976,120.8423817952,4.7944870666,61.7755114237,4.1235070307
2019Q4,3,81.7316691081,4.4034415535,97.8367309570,4.5833000787,95.3363723755,4.5574113997,62.1101557414,4.1289095141
2020Q1,3,98.6388448079,4.5914651476,138.4209442139,4.9302993628,125.0322952271,4.8285720657,67.0799929301,4.2058858316
2020Q2,3,69.6914927165,4.2440782546,71.2278594971,4.2658840270,83.6609649658,4.4267725003,46.5492261251,3.8405103790
2020Q3,3,70.7722371419,4.2594667930,80.3773803711,4.3867327979,93.3349126180,4.5361942353,38.0749308268,3.6395560820
2020Q4,3,70.0726420085,4.2495324469,76.0831680298,4.3318270581,87.8347676595,4.4754574093,45.5799388885,3.8194676831
2021Q1,3,76.6647567749,4.3394421083,78.6187667847,4.3646104341,97.9370676676,4.5843251057,48.0107688904,3.8714253376
2021Q2,3,85.1001586914,4.4438289003,93.0071334839,4.5326761943,107.6387812297,4.6787810031,55.6161829631,4.0184742194
2021Q3,3,76.2014287313,4.3333802123,89.4865493774,4.4940883277,86.4284083049,4.4593164216,65.0463218689,4.1750996602
2021Q4,3,90.3146006266,4.5032991376,105.3454208374,4.6572446731,123.5397466024,4.8165629391,49.5155792236,3.9022873518
2022Q1,3,224.5963083903,5.4143046058,318.9549255371,5.7650497935,307.9356689453,5.7298908941,139.8085645040,4.9402740905
2022Q2,3,154.7029673258,5.0415069386,191.1430969238,5.2530223461,183.0206909180,5.2095992116,146.4566167196,4.9867292530
2022Q3,3,127.3419520060,4.8468760036,132.8632202148,4.8893201796,156.9792531331,5.0561136510,105.8751271566,4.6622603540
2022Q4,3,123.6915461222,4.8177909353,143.1624145508,4.9639797519,149.1564610799,5.0049958294,107.0432840983,4.6732332769
2023Q1,3,110.2137985229,4.7024221023,120.9943771362,4.7957440746,128.3857854207,4.8550396797,94.8042449951,4.5518141867
2023Q2,3,108.6020940145,4.6876906892,110.5289459229,4.7052774407,123.3482844035,4.8150119345,93.7622528076,4.5407623529
2023Q3,3,102.4082590739,4.6289673644,107.4487838745,4.6770143050,122.3567937215,4.8069413153,81.2796579997,4.3978957761
2023Q4,3,165.6208699544,5.1097012603,197.8870086670,5.2876962045,161.5709330241,5.0849442600,195.1073811849,5.2735500797
2024Q1,3,146.7283325195,4.9885827989,160.3736572266,5.0775064502,134.2068150838,4.8993820063,177.1554412842,5.1770275465
2024Q2,3,135.8540013631,4.9115807897,163.9473419189,5.0995452904,142.6193847656,4.9601794368,136.2944666545,4.9148177411
2024Q3,3,121.2429072062,4.7977960308,140.9750671387,4.9485830459,118.0007705688,4.7706911547,131.9481277466,4.8824088737
2024Q4,3,133.9857635498,4.8977335521,142.3664398193,4.9584042958,131.9402770996,4.8823493740,145.0203323364,4.9768739556
2025Q1,3,141.5077972412,4.9523548197,174.3096466064,5.1608332958,149.7406412760,5.0089047394,136.5701573690,4.9168384560
2025Q2,3,176.3182169596,5.1722904134,221.1349029541,5.3987729359,216.9640096029,5.3797314854,154.4532165527,5.0398912450
2025Q3,3,133.3197123210,4.8927500956,138.9884643555,4.9343909394,153.1419982910,5.0313655844,118.7648773193,4.7771457178
2025Q4,3,130.4535293579,4.8710170665,154.5225982666,5.0403403527,144.3549677531,4.9722753202,121.2633666992,4.7979647646
2026Q1,3,206.2240320841,5.3289631122,330.1768188477,5.7996283257,231.7938028971,5.4458481959,210.6076914469,5.3499971206
2026Q2,3,211.8811492920,5.3560255009,252.3643341064,5.5308738137,239.8040059408,5.4798219478,235.7450561523,5.4627509506
